,id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team_id,home_team_abbreviation,home_team_city,home_team_conference,home_team_division,home_team_full_name,home_team_name,visitor_team_id,visitor_team_abbreviation,visitor_team_city,visitor_team_conference,visitor_team_division,visitor_team_full_name,visitor_team_name,win_team,loss_team
27,32800,2016-04-22T00:00:00.000Z,111,4,True,2015,Final, ,103,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,Boston Celtics,Atlanta Hawks
28,32801,2016-04-23T00:00:00.000Z,108,4,True,2015,Final, ,119,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,Oklahoma City Thunder,Dallas Mavericks
29,32802,2016-04-24T00:00:00.000Z,104,4,True,2015,Final, ,95,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,Boston Celtics,Atlanta Hawks
30,32803,2016-04-25T00:00:00.000Z,98,4,True,2015,Final, ,84,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,13,LAC,LA,West,Pacific,LA Clippers,Clippers,Portland Trail Blazers,LA Clippers
31,32804,2016-04-26T00:00:00.000Z,110,4,True,2015,Final, ,83,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,Atlanta Hawks,Boston Celtics
32,32805,2016-04-27T00:00:00.000Z,88,4,True,2015,Final, ,90,16,MIA,Miami,East,Southeast,Miami Heat,Heat,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,Charlotte Hornets,Miami Heat
33,32806,2016-04-29T00:00:00.000Z,106,4,True,2015,Final, ,103,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,13,LAC,LA,West,Pacific,LA Clippers,Clippers,Portland Trail Blazers,LA Clippers
34,32807,2016-04-30T00:00:00.000Z,124,4,True,2015,Final, ,92,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,San Antonio Spurs,Oklahoma City Thunder
35,32808,2016-05-01T00:00:00.000Z,118,4,True,2015,Final, ,106,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,Golden State Warriors,Portland Trail Blazers
36,33027,2018-04-14T00:00:00.000Z,95,4,True,2017,Final, ,97,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,New Orleans Pelicans,Portland Trail Blazers
37,33028,2018-04-15T00:00:00.000Z,116,4,True,2017,Final, ,108,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,Oklahoma City Thunder,Utah Jazz
38,33029,2018-04-17T00:00:00.000Z,102,4,True,2017,Final, ,111,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,New Orleans Pelicans,Portland Trail Blazers
39,33030,2018-04-18T00:00:00.000Z,100,4,True,2017,Final, ,97,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,Cleveland Cavaliers,Indiana Pacers
40,33031,2018-04-19T00:00:00.000Z,97,4,True,2017,Final, ,110,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,Golden State Warriors,San Antonio Spurs
41,33032,2018-04-20T00:00:00.000Z,122,4,True,2017,Final, ,103,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,Washington Wizards,Toronto Raptors
42,33033,2018-04-21T00:00:00.000Z,131,4,True,2017,Final, ,123,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,New Orleans Pelicans,Portland Trail Blazers
43,33034,2018-04-22T00:00:00.000Z,100,4,True,2017,Final, ,104,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,Cleveland Cavaliers,Indiana Pacers
44,33035,2018-04-23T00:00:00.000Z,113,4,True,2017,Final, ,96,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,Utah Jazz,Oklahoma City Thunder
45,33036,2018-04-24T00:00:00.000Z,92,4,True,2017,Final, ,87,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,Boston Celtics,Milwaukee Bucks
46,33037,2018-04-25T00:00:00.000Z,122,4,True,2017,Final, ,104,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,Houston Rockets,Minnesota Timberwolves
47,33038,2018-04-27T00:00:00.000Z,96,4,True,2017,Final, ,91,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,Utah Jazz,Oklahoma City Thunder
48,33039,2018-04-28T00:00:00.000Z,112,4,True,2017,Final, ,96,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,Boston Celtics,Milwaukee Bucks
49,33040,2018-04-29T00:00:00.000Z,110,4,True,2017,Final, ,96,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,Houston Rockets,Utah Jazz
50,33041,2018-05-01T00:00:00.000Z,121,4,True,2017,Final, ,116,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,Golden State Warriors,New Orleans Pelicans
51,33042,2018-05-02T00:00:00.000Z,108,4,True,2017,Final, ,116,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,Utah Jazz,Houston Rockets
52,33043,2018-05-03T00:00:00.000Z,110,4,True,2017,Final, ,128,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,Cleveland Cavaliers,Toronto Raptors
53,33044,2018-05-04T00:00:00.000Z,119,4,True,2017,Final, ,100,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,New Orleans Pelicans,Golden State Warriors
54,33045,2018-05-04T00:00:00.000Z,92,4,True,2017,Final, ,113,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,Houston Rockets,Utah Jazz
55,33046,2018-05-05T00:00:00.000Z,98,4,True,2017,Final, ,101,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,Boston Celtics,Philadelphia 76ers
56,33047,2018-05-05T00:00:00.000Z,105,4,True,2017,Final, ,103,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,Cleveland Cavaliers,Toronto Raptors
57,33048,2018-05-06T00:00:00.000Z,92,4,True,2017,Final, ,118,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,Golden State Warriors,New Orleans Pelicans
58,33049,2018-05-06T00:00:00.000Z,87,4,True,2017,Final, ,100,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,Houston Rockets,Utah Jazz
59,33050,2018-05-07T00:00:00.000Z,103,4,True,2017,Final, ,92,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,Philadelphia 76ers,Boston Celtics
60,33051,2018-05-07T00:00:00.000Z,128,4,True,2017,Final, ,93,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,Cleveland Cavaliers,Toronto Raptors
